,code,name1,name2,type,name3
5340,007488,WJMAZL12GYDKZA,万家民安增利12个月定开债A,债券型-长债,WANJIAMINANZENGLI12GEYUEDINGKAIZHAIA
5341,007489,WJMAZL12GYDKZC,万家民安增利12个月定开债C,债券型-长债,WANJIAMINANZENGLI12GEYUEDINGKAIZHAIC
5342,007490,NFXXCXHHA,南方信息创新混合A,混合型-偏股,NANFANGXINXICHUANGXINHUNHEA
5343,007491,NFXXCXHHC,南方信息创新混合C,混合型-偏股,NANFANGXINXICHUANGXINHUNHEC
5344,007492,SYZCXJRZZQA,上银政策性金融债债券A,债券型-长债,SHANGYINZHENGCEXINGJINRONGZHAIZHAIQUANA
5345,007493,ZQCYZXHHA,朱雀产业臻选混合A,混合型-偏股,ZHUQUECHANYEZHENXUANHUNHEA
5346,007494,ZQCYZXHHC,朱雀产业臻选混合C,混合型-偏股,ZHUQUECHANYEZHENXUANHUNHEC
5347,007495,XYZZ13NZJZC,兴业中债1-3年政金债C,指数型-固收,XINGYEZHONGZHAI13NIANZHENGJINZHAIC
5348,007496,NYHLFZSNDKZ,农银汇理丰泽三年定开债,债券型-长债,NONGYINHUILIFENGZESANNIANDINGKAIZHAI
5349,007497,ZGJZLDLHPZHH,中庚价值灵动灵活配置混合,混合型-灵活,ZHONGGENGJIAZHILINGDONGLINGHUOPEIZHIHUNHE
5350,007498,ZGJZLDLHPZHH,中庚价值灵动灵活配置混合(后端),混合型-灵活,ZHONGGENGJIAZHILINGDONGLINGHUOPEIZHIHUNHE
5351,007499,GDFGLDHHC,光大风格轮动混合C,混合型-偏股,GUANGDAFENGGELUNDONGHUNHEC
5352,007500,PHZCDKZFQS,鹏华尊诚定开债发起式,债券型-长债,PENGHUAZUNCHENGDINGKAIZHAIFAQISHI
5353,007501,WJKCZTLHPZHHLOFC,万家科创主题灵活配置混合(LOF)C,混合型-灵活,WANJIAKECHUANGZHUTILINGHUOPEIZHIHUNHELOFC
5354,007502,QHKYYHHHC,前海开源裕和混合C,混合型-偏债,QIANHAIKAIYUANYUHEHUNHEC
5355,007505,HXAHJJLCGPA,华夏AH经济蓝筹股票A,指数型-股票,HUAXIAAHJINGJILANCHOUGUPIAOA
5356,007506,HXAHJJLCGPC,华夏AH经济蓝筹股票C,指数型-股票,HUAXIAAHJINGJILANCHOUGUPIAOC
5357,007507,DCZZ35NGKZA,大成中债3-5年国开债A,指数型-固收,DACHENGZHONGZHAI35NIANGUOKAIZHAIA
5358,007508,DCZZ35NGKZC,大成中债3-5年国开债C,指数型-固收,DACHENGZHONGZHAI35NIANGUOKAIZHAIC
5359,007509,HSRFLHPZHHC,华商润丰灵活配置混合C,混合型-灵活,HUASHANGRUNFENGLINGHUOPEIZHIHUNHEC
5360,007510,NFTYZQA,南方泰元债券A,债券型-长债,NANFANGTAIYUANZHAIQUANA
5361,007511,NFTYZQC,南方泰元债券C,债券型-长债,NANFANGTAIYUANZHAIQUANC
5362,007512,GYHGSGPC,工银沪港深股票C,股票型,GONGYINHUGANGSHENGUPIAOC
5363,007513,BSFF3GYDKZ,博时富丰3个月定开债,债券型-长债,BOSHIFUFENG3GEYUEDINGKAIZHAI
5364,007515,PHWLDZZQA,鹏华稳利短债债券A,债券型-中短债,PENGHUAWENLIDUANZHAIZHAIQUANA
5365,007516,RTZRSGYDKZ,融通增润三个月定开债,债券型-长债,RONGTONGZENGRUNSANGEYUEDINGKAIZHAI
5366,007517,BSFC3GYDKZ,博时富淳3个月定开债,债券型-长债,BOSHIFUCHUN3GEYUEDINGKAIZHAI
5367,007518,DFAEFYXHHA,东方阿尔法优选混合A,混合型-偏股,DONGFANGAERFAYOUXUANHUNHEA
5368,007519,DFAEFYXHHC,东方阿尔法优选混合C,混合型-偏股,DONGFANGAERFAYOUXUANHUNHEC
5369,007520,FADFLCZA,富安达富利纯债A,债券型-长债,FUANDAFULICHUNZHAIA
5370,007521,NFRTYF,南方日添益F,货币型-普通货币,NANFANGRITIANYIF
5371,007522,NFLCJJYXHBE,南方理财金交易型货币E,货币型-普通货币,NANFANGLICAIJINJIAOYIXINGHUOBIE
5372,007523,HTFNXZZGPA,汇添富内需增长股票A,股票型,HUITIANFUNEIXUZENGZHANGGUPIAOA
5373,007524,HTFNXZZGPC,汇添富内需增长股票C,股票型,HUITIANFUNEIXUZENGZHANGGUPIAOC
5374,007525,YFDNNHXYNDKZA,易方达年年恒夏一年定开债A,债券型-长债,YIFANGDANIANNIANHENGXIAYINIANDINGKAIZHAIA
5375,007526,YFDNNHXYNDKZC,易方达年年恒夏一年定开债C,债券型-长债,YIFANGDANIANNIANHENGXIAYINIANDINGKAIZHAIC
5376,007527,RTLHDCLHHA,融通量化多策略混合A,混合型-灵活,RONGTONGLIANGHUADUOCELUEHUNHEA
5377,007528,RTLHDCLHHC,融通量化多策略混合C,混合型-灵活,RONGTONGLIANGHUADUOCELUEHUNHEC
5378,007529,JSHXZDZA,嘉实汇鑫中短债A,债券型-中短债,JIASHIHUIXINZHONGDUANZHAIA
5379,007530,JSHXZDZC,嘉实汇鑫中短债C,债券型-中短债,JIASHIHUIXINZHONGDUANZHAIC
5380,007531,HBQSETFLJC,华宝券商ETF联接C,指数型-股票,HUABAOQUANSHANGETFLIANJIEC
5381,007532,GTSHSGYDKZ,国泰盛合三个月定开债,债券型-长债,GUOTAISHENGHESANGEYUEDINGKAIZHAI
5382,007533,GLCXCZHHA,格林创新成长混合A,混合型-偏股,GELINCHUANGXINCHENGZHANGHUNHEA
5383,007534,GLCXCZHHC,格林创新成长混合C,混合型-偏股,GELINCHUANGXINCHENGZHANGHUNHEC
5384,007535,ZOYHZQ,中欧盈和债券,债券型-长债,ZHONGOUYINGHEZHAIQUAN
5385,007536,BSFLCZZQA,博时富乐纯债债券A,债券型-长债,BOSHIFULECHUNZHAIZHAIQUANA
5386,007537,JSCCJTYLCZ,景顺长城景泰盈利纯债,债券型-长债,JINGSHUNCHANGCHENGJINGTAIYINGLICHUNZHAI
5387,007538,YYHS300ETFFQLJA,永赢沪深300ETF发起联接A,指数型-股票,YONGYINGHUSHEN300ETFFAQILIANJIEA
5388,007539,YYHS300ETFFQLJC,永赢沪深300ETF发起联接C,指数型-股票,YONGYINGHUSHEN300ETFFAQILIANJIEC
5389,007540,HTBXAYZQA,华泰保兴安悦债券A,债券型-长债,HUATAIBAOXINGANYUEZHAIQUANA
5390,007542,YYKTZGDJZDZA,永赢开泰中高等级中短债A,债券型-中短债,YONGYINGKAITAIZHONGGAODENGJIZHONGDUANZHAIA
5391,007543,YYKTZGDJZDZC,永赢开泰中高等级中短债C,债券型-中短债,YONGYINGKAITAIZHONGGAODENGJIZHONGDUANZHAIC
5392,007544,PHZSDQKFFQSZQ,鹏华尊晟定期开放发起式债券,债券型-长债,PENGHUAZUNSHENGDINGQIKAIFANGFAQISHIZHAIQUAN
5393,007545,TPHASGYDKZ,太平恒安三个月定开债,债券型-长债,TAIPINGHENGANSANGEYUEDINGKAIZHAI
5394,007546,RTZXCZZQA,融通增享纯债债券A,债券型-长债,RONGTONGZENGXIANGCHUNZHAIZHAIQUANA
5395,007548,YFDESGZRTZGP,易方达ESG责任投资股票,股票型,YIFANGDAESGZERENTOUZIGUPIAO
5396,007549,ZTKYJZYXHHA,中泰开阳价值优选混合A,混合型-灵活,ZHONGTAIKAIYANGJIAZHIYOUXUANHUNHEA
5397,007550,DXWLJZHHC,东兴未来价值混合C,混合型-灵活,DONGXINGWEILAIJIAZHIHUNHEC
5398,007551,XYZLA,鑫元泽利A,债券型-混合一级,XINYUANZELIA
5399,007552,ZXJTWYDKZC,中信建投稳裕定开债C,债券型-长债,ZHONGXINJIANTOUWENYUDINGKAIZHAIC
5400,007553,ZXJTYGHHC,中信建投医改混合C,混合型-灵活,ZHONGXINJIANTOUYIGAIHUNHEC
5401,007554,CTHLCZ,财通恒利纯债,债券型-长债,CAITONGHENGLICHUNZHAI
5402,007555,ZHRMCZA,中航瑞明纯债A,债券型-长债,ZHONGHANGRUIMINGCHUNZHAIA
5403,007556,ZHRMCZC,中航瑞明纯债C,债券型-长债,ZHONGHANGRUIMINGCHUNZHAIC
5404,007557,ZJYXZGDJZQA,中加优选中高等级债券A,债券型-长债,ZHONGJIAYOUXUANZHONGGAODENGJIZHAIQUANA
5405,007558,ZJYXZGDJZQC,中加优选中高等级债券C,债券型-长债,ZHONGJIAYOUXUANZHONGGAODENGJIZHAIQUANC
5406,007559,XYFLSGYDQKFZ,鑫元富利三个月定期开放债,债券型-长债,XINYUANFULISANGEYUEDINGQIKAIFANGZHAI
5407,007560,GLHXCZA,国联恒鑫纯债A,债券型-长债,GUOLIANHENGXINCHUNZHAIA
5408,007561,GLHXCZC,国联恒鑫纯债C,债券型-长债,GUOLIANHENGXINCHUNZHAIC
5409,007562,JSCCJTCLZQA,景顺长城景泰纯利债券A,债券型-混合一级,JINGSHUNCHANGCHENGJINGTAICHUNLIZHAIQUANA
5410,007563,XYHYDKZ,兴银汇逸定开债,债券型-长债,XINGYINHUIYIDINGKAIZHAI
5411,007564,PYCMZQA,鹏扬淳明债券A,债券型-长债,PENGYANGCHUNMINGZHAIQUANA
5412,007565,PYCMZQC,鹏扬淳明债券C,债券型-长债,PENGYANGCHUNMINGZHAIQUANC
5413,007566,ZYNXZQ,中银宁享债券,债券型-长债,ZHONGYINNINGXIANGZHAIQUAN
5414,007567,NFHX39GYA,南方恒新39个月A,债券型-长债,NANFANGHENGXIN39GEYUEA
5415,007568,NFHX39GYC,南方恒新39个月C,债券型-长债,NANFANGHENGXIN39GEYUEC
5416,007569,NFAFHHC,南方安福混合C,混合型-偏债,NANFANGANFUHUNHEC
5417,007570,FZFBHLJXHHC,方正富邦红利精选混合C,混合型-偏股,FANGZHENGFUBANGHONGLIJINGXUANHUNHEC
5418,007571,NFSZ380ETFLJC,南方上证380ETF联接C,指数型-股票,NANFANGSHANGZHENG380ETFLIANJIEC
5419,007572,ZJMFCZA,中加民丰纯债A,债券型-长债,ZHONGJIAMINFENGCHUNZHAIA
5420,007573,NYHLFYSNDKZ,农银汇理丰盈三年定开债,债券型-长债,NONGYINHUILIFENGYINGSANNIANDINGKAIZHAI
5421,007574,BYXJZHHC,宝盈新价值混合C,混合型-灵活,BAOYINGXINJIAZHIHUNHEC
5422,007575,BYXTHHC,宝盈祥泰混合C,混合型-偏债,BAOYINGXIANGTAIHUNHEC
5423,007576,HXDQSGYDKZQ,华夏鼎琪三个月定开债券,债券型-长债,HUAXIADINGQISANGEYUEDINGKAIZHAIQUAN
5424,007577,BYXRHHC,宝盈祥瑞混合C,混合型-偏债,BAOYINGXIANGRUIHUNHEC
5425,007578,BYXRHHC,宝盈新锐混合C,混合型-灵活,BAOYINGXINRUIHUNHEC
5426,007579,BYXJZZHHC,宝盈先进制造混合C,混合型-灵活,BAOYINGXIANJINZHIZAOHUNHEC
5427,007580,BYZZA100ZSZQC,宝盈中证A100指数增强C,指数型-股票,BAOYINGZHONGZHENGA100ZHISHUZENGQIANGC
5428,007581,BYHLSYLHPZHHC,宝盈鸿利收益灵活配置混合C,混合型-灵活,BAOYINGHONGLISHOUYILINGHUOPEIZHIHUNHEC
5429,007582,ZTQYZDZA,中泰青月中短债A,债券型-中短债,ZHONGTAIQINGYUEZHONGDUANZHAIA
5430,007583,ZTQYZDZC,中泰青月中短债C,债券型-中短债,ZHONGTAIQINGYUEZHONGDUANZHAIC
5431,007584,PHFXZQA,鹏华丰鑫债券A,债券型-长债,PENGHUAFENGXINZHAIQUANA
5432,007585,GYRH3GYDKZ,工银瑞弘3个月定开债,债券型-长债,GONGYINRUIHONG3GEYUEDINGKAIZHAI
5433,007586,HTBXDCL,华泰保兴多策略,股票型,HUATAIBAOXINGDUOCELUE
5434,007587,ZSFYCZZQA,浙商丰裕纯债债券A,债券型-长债,ZHESHANGFENGYUCHUNZHAIZHAIQUANA
5435,007588,ZSFYCZZQC,浙商丰裕纯债债券C,债券型-长债,ZHESHANGFENGYUCHUNZHAIZHAIQUANC
5436,007589,JSZY42GYDQZQ,嘉实致元42个月定期债券,债券型-长债,JIASHIZHIYUAN42GEYUEDINGQIZHAIQUAN
5437,007590,HBLSLXGP,华宝绿色领先股票,股票型,HUABAOLVSELINGXIANGUPIAO
5438,007591,HXHY18GYDKZQ,华夏恒益18个月定开债券,债券型-长债,HUAXIAHENGYI18GEYUEDINGKAIZHAIQUAN
5439,007592,HXJZJXHH,华夏价值精选混合,混合型-偏股,HUAXIAJIAZHIJINGXUANHUNHE
5440,007593,PYZZ500ZLCZETFLJA,鹏扬中证500质量成长ETF联接A,指数型-股票,PENGYANGZHONGZHENG500ZHILIANGCHENGZHANGETFLIANJIEA
5441,007594,PYZZ500ZLCZETFLJC,鹏扬中证500质量成长ETF联接C,指数型-股票,PENGYANGZHONGZHENG500ZHILIANGCHENGZHANGETFLIANJIEC
5442,007595,ZSTZCZA,招商添泽纯债A,债券型-长债,ZHAOSHANGTIANZECHUNZHAIA
5443,007596,ZSTZCZC,招商添泽纯债C,债券型-长债,ZHAOSHANGTIANZECHUNZHAIC
5444,007598,GFMYCZA,广发民玉纯债A,债券型-长债,GUANGFAMINYUCHUNZHAIA
5445,007600,TKRY63GYDKZQ,泰康润颐63个月定开债券,债券型-长债,TAIKANGRUNYI63GEYUEDINGKAIZHAIQUAN
5446,007603,JSCCZDZA,景顺长城中短债A,债券型-中短债,JINGSHUNCHANGCHENGZHONGDUANZHAIA
5447,007604,JSCCZDZC,景顺长城中短债C,债券型-中短债,JINGSHUNCHANGCHENGZHONGDUANZHAIC
5448,007605,JSHS300HLDBDETFLJA,嘉实沪深300红利低波动ETF联接A,指数型-股票,JIASHIHUSHEN300HONGLIDIBODONGETFLIANJIEA
5449,007606,JSHS300HLDBDETFLJC,嘉实沪深300红利低波动ETF联接C,指数型-股票,JIASHIHUSHEN300HONGLIDIBODONGETFLIANJIEC
5450,007609,HAJCZQA,汇安嘉诚债券A,债券型-混合一级,HUIANJIACHENGZHAIQUANA
5451,007610,HAJCZQC,汇安嘉诚债券C,债券型-混合一级,HUIANJIACHENGZHAIQUANC
5452,007611,HAYHCZZQA,汇安裕和纯债债券A,债券型-长债,HUIANYUHECHUNZHAIZHAIQUANA
5453,007612,HAYHCZZQC,汇安裕和纯债债券C,债券型-长债,HUIANYUHECHUNZHAIZHAIQUANC
5454,007616,FGTZJXYZZQXA,富国投资级信用债债券型A,债券型-长债,FUGUOTOUZIJIXINYONGZHAIZHAIQUANXINGA
5455,007617,FGTZJXYZZQXC,富国投资级信用债债券型C,债券型-长债,FUGUOTOUZIJIXINYONGZHAIZHAIQUANXINGC
5456,007618,FGTZJXYZZQXD,富国投资级信用债债券型D,债券型-长债,FUGUOTOUZIJIXINYONGZHAIZHAIQUANXINGD
5457,007619,ZORY63GYDKZ,中欧润逸63个月定开债,债券型-长债,ZHONGOURUNYI63GEYUEDINGKAIZHAI
5458,007632,HRYDAXLHPZHHC,华润元大安鑫灵活配置混合C,混合型-灵活,HUARUNYUANDAANXINLINGHUOPEIZHIHUNHEC
5459,007635,YHTYZDZA,银河天盈中短债A,债券型-中短债,YINHETIANYINGZHONGDUANZHAIA
5460,007636,YHTYZDZC,银河天盈中短债C,债券型-中短债,YINHETIANYINGZHONGDUANZHAIC
5461,007637,XYXRXDZC,兴银鑫日享短债C,债券型-中短债,XINGYINXINRIXIANGDUANZHAIC
5462,007638,QHKYKYPHYLSNFOF,前海开源康颐平衡养老三年(FOF),FOF-均衡型,QIANHAIKAIYUANKANGYIPINGHENGYANGLAOSANNIANFOF
5463,007639,HTFJZYSLHPZHH,汇添富竞争优势灵活配置混合,混合型-灵活,HUITIANFUJINGZHENGYOUSHILINGHUOPEIZHIHUNHE
5464,007640,HLYLZQ,宏利永利债券,债券型-长债,HONGLIYONGLIZHAIQUAN
5465,007643,HAWJYLMBYNCYHHFQSFOFA,华安稳健养老目标一年持有混合发起式(FOF)A,FOF-稳健型,HUAANWENJIANYANGLAOMUBIAOYINIANCHIYOUHUNHEFAQISHIFOFA
5466,007644,HBBRZQA,华宝宝润债券A,债券型-长债,HUABAOBAORUNZHAIQUANA
5467,007645,PAJXYDKZA,平安季享裕定开债A,债券型-混合一级,PINGANJIXIANGYUDINGKAIZHAIA
5468,007646,PAJXYDKZC,平安季享裕定开债C,债券型-混合一级,PINGANJIXIANGYUDINGKAIZHAIC
5469,007647,PAJXYDKZE,平安季享裕定开债E,债券型-混合一级,PINGANJIXIANGYUDINGKAIZHAIE
5470,007649,BSYZPHYLFOFA,博时颐泽平衡养老(FOF)A,FOF-均衡型,BOSHIYIZEPINGHENGYANGLAOFOFA
5471,007650,GYYL2040SNCYHHFQSFOFA,工银养老2040三年持有混合发起式(FOF)A,FOF-均衡型,GONGYINYANGLAO2040SANNIANCHIYOUHUNHEFAQISHIFOFA
5472,007651,GYYL2045SNCYHHFQSFOFA,工银养老2045三年持有混合发起式(FOF)A,FOF-均衡型,GONGYINYANGLAO2045SANNIANCHIYOUHUNHEFAQISHIFOFA
5473,007652,HXWJYLYNCYHHFOFA,华夏稳健养老一年持有混合(FOF)A,FOF-稳健型,HUAXIAWENJIANYANGLAOYINIANCHIYOUHUNHEFOFA
5474,007653,CSWY6GYA,长盛稳益6个月A,债券型-长债,CHANGSHENGWENYI6GEYUEA
5475,007654,CSWY6GYC,长盛稳益6个月C,债券型-长债,CHANGSHENGWENYI6GEYUEC
5476,007655,NFDYZDZZQA,南方定元中短债债券A,债券型-中短债,NANFANGDINGYUANZHONGDUANZHAIZHAIQUANA
5477,007656,NFDYZDZZQC,南方定元中短债债券C,债券型-中短债,NANFANGDINGYUANZHONGDUANZHAIZHAIQUANC
5478,007657,DFHZZJZLZSA,东方红中证竞争力指数A,指数型-股票,DONGFANGHONGZHONGZHENGJINGZHENGLIZHISHUA
5479,007658,DFHZZJZLZSC,东方红中证竞争力指数C,指数型-股票,DONGFANGHONGZHONGZHENGJINGZHENGLIZHISHUC
5480,007659,BSFH3GYDKZFQS,博时富汇3个月定开债发起式,债券型-长债,BOSHIFUHUI3GEYUEDINGKAIZHAIFAQISHI
5481,007660,ZSHYJHYLSNCYHHFOFA,招商和悦均衡养老三年持有混合(FOF)A,FOF-均衡型,ZHAOSHANGHEYUEJUNHENGYANGLAOSANNIANCHIYOUHUNHEFOFA
5482,007661,NFYLMB2030SNCYHHFQFOFA,南方养老目标2030三年持有混合发起(FOF)A,FOF-稳健型,NANFANGYANGLAOMUBIAO2030SANNIANCHIYOUHUNHEFAQIFOFA
5483,007662,FGXWJHYLMBSNCYHHFQFOFA,富国鑫旺均衡养老目标三年持有混合发起(FOF)A,FOF-均衡型,FUGUOXINWANGJUNHENGYANGLAOMUBIAOSANNIANCHIYOUHUNHEFAQIFOFA
5484,007663,PAAXLHPZHHC,平安安享灵活配置混合C,混合型-灵活,PINGANANXIANGLINGHUOPEIZHIHUNHEC
5485,007664,YYCYBZSFQSA,永赢创业板指数发起式A,指数型-股票,YONGYINGCHUANGYEBANZHISHUFAQISHIA
5486,007665,YYCYBZSFQSC,永赢创业板指数发起式C,指数型-股票,YONGYINGCHUANGYEBANZHISHUFAQISHIC
5487,007666,HXDHZQA,华夏鼎泓债券A,债券型-混合二级,HUAXIADINGHONGZHAIQUANA
5488,007667,HXDHZQC,华夏鼎泓债券C,债券型-混合二级,HUAXIADINGHONGZHAIQUANC
5489,007668,GFYLMBRQ2035SNCYQHHFQSFOFA,广发养老目标日期2035三年持有期混合发起式(FOF)A,FOF-均衡型,GUANGFAYANGLAOMUBIAORIQI2035SANNIANCHIYOUQIHUNHEFAQISHIFOFA
5490,007669,TPRYHHC,太平睿盈混合C,混合型-偏债,TAIPINGRUIYINGHUNHEC
5491,007670,JSSYYHJXZQ,嘉实商业银行精选债券,债券型-长债,JIASHISHANGYEYINHANGJINGXUANZHAIQUAN
5492,007671,JXZZHLQLZSA,建信中证红利潜力指数A,指数型-股票,JIANXINZHONGZHENGHONGLIQIANLIZHISHUA
5493,007672,JXZZHLQLZSC,建信中证红利潜力指数C,指数型-股票,JIANXINZHONGZHENGHONGLIQIANLIZHISHUC
5494,007673,ZJARWJYLMBYNCYHHFOFA,中加安瑞稳健养老目标一年持有混合(FOF)A,FOF-稳健型,ZHONGJIAANRUIWENJIANYANGLAOMUBIAOYINIANCHIYOUHUNHEFOFA
5495,007674,GYCYSJGPA,工银产业升级股票A,股票型,GONGYINCHANYESHENGJIGUPIAOA
5496,007675,GYCYSJGPC,工银产业升级股票C,股票型,GONGYINCHANYESHENGJIGUPIAOC
5497,007676,FCTHCZA,蜂巢添汇纯债A,债券型-长债,FENGCHAOTIANHUICHUNZHAIA
5498,007677,FCTHCZC,蜂巢添汇纯债C,债券型-长债,FENGCHAOTIANHUICHUNZHAIC
5499,007680,ZJXLSNZQ,中加享利三年债券,债券型-长债,ZHONGJIAXIANGLISANNIANZHAIQUAN
5500,007681,PHFDZQ,鹏华丰登债券,债券型-长债,PENGHUAFENGDENGZHAIQUAN
5501,007682,PHJLLNDKZ,鹏华锦利两年定开债,债券型-长债,PENGHUAJINLILIANGNIANDINGKAIZHAI
5502,007683,HSZZJXZQA,华商转债精选债券A,债券型-混合一级,HUASHANGZHUANZHAIJINGXUANZHAIQUANA
5503,007684,HSZZJXZQC,华商转债精选债券C,债券型-混合一级,HUASHANGZHUANZHAIJINGXUANZHAIQUANC
5504,007685,HSDZHYLHGPFQSA,华商电子行业量化股票发起式A,股票型,HUASHANGDIANZIHANGYELIANGHUAGUPIAOFAQISHIA
5505,007687,DFCZSYLHPZHHC,东方成长收益灵活配置混合C,混合型-灵活,DONGFANGCHENGZHANGSHOUYILINGHUOPEIZHIHUNHEC
5506,007689,GTRYXNYHHA,国投瑞银新能源混合A,混合型-偏股,GUOTOURUIYINXINNENGYUANHUNHEA
5507,007690,GTRYXNYHHC,国投瑞银新能源混合C,混合型-偏股,GUOTOURUIYINXINNENGYUANHUNHEC
5508,007691,YYZLYNDK,永赢泽利一年定开,债券型-长债,YONGYINGZELIYINIANDINGKAI
5509,007692,YYDLZQA,永赢鼎利债券A,债券型-长债,YONGYINGDINGLIZHAIQUANA
5510,007693,YYDLZQC,永赢鼎利债券C,债券型-长债,YONGYINGDINGLIZHAIQUANC
5511,007696,JSRXHB,嘉实融享货币,货币型-浮动净值,JIASHIRONGXIANGHUOBI
5512,007699,JXRXYNDQKFZQ,建信荣禧一年定期开放债券,债券型-长债,JIANXINRONGXIYINIANDINGQIKAIFANGZHAIQUAN
5513,007701,GLA6GYDKZA,国联安6个月定开债A,债券型-长债,GUOLIANAN6GEYUEDINGKAIZHAIA
5514,007702,GLA6GYDKZC,国联安6个月定开债C,债券型-长债,GUOLIANAN6GEYUEDINGKAIZHAIC
5515,007703,WJXSCZA,万家鑫盛纯债A,债券型-长债,WANJIAXINSHENGCHUNZHAIA
5516,007704,WJXSCZC,万家鑫盛纯债C,债券型-长债,WANJIAXINSHENGCHUNZHAIC
5517,007705,CCHKWJYLYNCYHHFQSFOFA,长城恒康稳健养老一年持有混合发起式(FOF)A,FOF-稳健型,CHANGCHENGHENGKANGWENJIANYANGLAOYINIANCHIYOUHUNHEFAQISHIFOFA
5518,007706,NFCYZQA,南方聪元债券A,债券型-长债,NANFANGCONGYUANZHAIQUANA
5519,007707,NFCYZQC,南方聪元债券C,债券型-长债,NANFANGCONGYUANZHAIQUANC
5520,007708,ZYRFFDJZXHBA,中银瑞福浮动净值型货币A,货币型-浮动净值,ZHONGYINRUIFUFUDONGJINGZHIXINGHUOBIA
5521,007709,ZYRFFDJZXHBC,中银瑞福浮动净值型货币C,货币型-浮动净值,ZHONGYINRUIFUFUDONGJINGZHIXINGHUOBIC
5522,007710,GLHTSGYDKZA,格林泓泰三个月定开债A,债券型-长债,GELINHONGTAISANGEYUEDINGKAIZHAIA
5523,007711,GLHTSGYDKZC,格林泓泰三个月定开债C,债券型-长债,GELINHONGTAISANGEYUEDINGKAIZHAIC
5524,007712,ZYKX3GYDQKFZQ,中银康享3个月定期开放债券,债券型-混合一级,ZHONGYINKANGXIANG3GEYUEDINGQIKAIFANGZHAIQUAN
5525,007713,HFKJDNHHA,华富科技动能混合A,混合型-偏股,HUAFUKEJIDONGNENGHUNHEA
5526,007714,NFHYLLZZQA,南方贺元利率债债券A,债券型-长债,NANFANGHEYUANLILVZHAIZHAIQUANA
5527,007715,NFHYLLZZQC,南方贺元利率债债券C,债券型-长债,NANFANGHEYUANLILVZHAIZHAIQUANC
5528,007716,JSZHCZZQA,嘉实致华纯债债券A,债券型-长债,JIASHIZHIHUACHUNZHAIZHAIQUANA
5529,007717,GYZXDZZQF,工银尊享短债债券F,债券型-中短债,GONGYINZUNXIANGDUANZHAIZHAIQUANF
5530,007718,ZYCXYLHHA,中银创新医疗混合A,混合型-偏股,ZHONGYINCHUANGXINYILIAOHUNHEA
5531,007719,YYYLZQA,永赢元利债券A,债券型-长债,YONGYINGYUANLIZHAIQUANA
5532,007720,YYYLZQC,永赢元利债券C,债券型-长债,YONGYINGYUANLIZHAIQUANC
5533,007721,THBP500FQQDIIFOFA,天弘标普500发起(QDII-FOF)A,QDII-FOF,TIANHONGBIAOPU500FAQIQDIIFOFA
5534,007722,THBP500FQQDIIFOFC,天弘标普500发起(QDII-FOF)C,QDII-FOF,TIANHONGBIAOPU500FAQIQDIIFOFC
5535,007723,PHJR86GYDKZ,鹏华锦润86个月定开债,债券型-长债,PENGHUAJINRUN86GEYUEDINGKAIZHAI
5536,007725,ZSRWHHA,招商瑞文混合A,混合型-偏债,ZHAOSHANGRUIWENHUNHEA
5537,007726,ZSRWHHC,招商瑞文混合C,混合型-偏债,ZHAOSHANGRUIWENHUNHEC
5538,007729,ZSPSQQPZQDIIFOFRMB,招商普盛全球配置(QDII-FOF)人民币,QDII-混合灵活,ZHAOSHANGPUSHENGQUANQIUPEIZHIQDIIFOFRENMINBI
5539,007730,PAJGJHBC,平安金管家货币C,货币型-普通货币,PINGANJINGUANJIAHUOBIC
5540,007731,MSJYCXCZHHA,民生加银持续成长混合A,混合型-偏股,MINSHENGJIAYINCHIXUCHENGZHANGHUNHEA
5541,007732,MSJYCXCZHHC,民生加银持续成长混合C,混合型-偏股,MINSHENGJIAYINCHIXUCHENGZHANGHUNHEC
5542,007733,NFZRHHA,南方智锐混合A,混合型-偏股,NANFANGZHIRUIHUNHEA
5543,007734,NFZRHHC,南方智锐混合C,混合型-偏股,NANFANGZHIRUIHUNHEC
5544,007735,JYMAHBDKC,金鹰民安回报定开C,混合型-偏债,JINYINGMINANHUIBAODINGKAIC
5545,007736,MSJYJXSNDKZ,民生加银聚鑫三年定开债,债券型-长债,MINSHENGJIAYINJUXINSANNIANDINGKAIZHAI
5546,007737,NDYFCX100,诺德研发创新100,指数型-股票,NUODEYANFACHUANGXIN100
5547,007738,CHWHZQA,淳厚稳惠债券A,债券型-混合一级,CHUNHOUWENHUIZHAIQUANA
5548,007739,CHWHZQC,淳厚稳惠债券C,债券型-混合一级,CHUNHOUWENHUIZHAIQUANC
5549,007740,THXYZQA,天弘信益债券A,债券型-长债,TIANHONGXINYIZHAIQUANA
5550,007741,THXYZQC,天弘信益债券C,债券型-长债,TIANHONGXINYIZHAIQUANC
5551,007744,CSAYCZZQA,长盛安逸纯债债券A,债券型-长债,CHANGSHENGANYICHUNZHAIZHAIQUANA
5552,007745,CSAYCZZQC,长盛安逸纯债债券C,债券型-长债,CHANGSHENGANYICHUNZHAIZHAIQUANC
5553,007746,HAXJRL,华安现金润利,货币型-浮动净值,HUAANXIANJINRUNLI
5554,007747,HFTPHYLMBSNCYQHHFOFA,海富通平衡养老目标三年持有期混合(FOF)A,FOF-均衡型,HAIFUTONGPINGHENGYANGLAOMUBIAOSANNIANCHIYOUQIHUNHEFOFA
