排序	编码		名称		类型		2025-08-26	2025-09-24	净增长	增长率
39	016158	汇添富数字经济核心产业一年持有期混合C		混合型-偏股		1.3706		1.6872		0.3166	23.1%
40	023452	中欧信息科技混合发起C		混合型-偏股		1.6024		1.9714		0.369	23.03%
41	011513	天弘中证新能源车C		指数型-股票		0.9439		1.1607		0.2168	22.97%
42	011705	东方阿尔法产业先锋混合C		混合型-偏股		0.5412		0.6655		0.1243	22.97%
43	018288	信澳优势产业混合C		混合型-偏股		1.8507		2.2742		0.4235	22.88%
44	014581	东吴阿尔法灵活配置混合C		混合型-灵活		1.7874		2.1962		0.4088	22.87%
45	010806	东财新能源车C		指数型-股票		0.9677		1.1885		0.2208	22.82%
46	013048	富国中证新能源汽车指数(LOF)C		指数型-股票		0.9070		1.1140		0.207	22.82%
47	009856	中加新兴成长混合C		混合型-偏股		1.4867		1.8258		0.3391	22.81%
48	013196	招商中证新能源汽车指数C		指数型-股票		0.6230		0.7647		0.1417	22.74%
49	010392	易方达战略新兴产业股票C		股票型		1.3284		1.6299		0.3015	22.7%
50	009068	国泰中证新能源汽车ETF联接C		指数型-股票		1.7761		2.1778		0.4017	22.62%
51	013014	华夏中证新能源汽车ETF发起式联接C		指数型-股票		0.6005		0.7363		0.1358	22.61%
1	014497	诺安研究优选混合C		混合型-偏股		0.9737		1.3755		0.4018	41.27%
2	013841	银华集成电路混合C		混合型-偏股		1.1374		1.5594		0.422	37.1%
3	014536	诺安高端制造股票C		股票型		1.6310		2.2110		0.58	35.56%
4	021793	华泰保兴产业升级混合发起C		混合型-偏股		1.1943		1.5957		0.4014	33.61%
5	007491	南方信息创新混合C		混合型-偏股		1.9646		2.6246		0.66	33.59%
6	024070	上银中证半导体产业指数发起式C		指数型-股票		1.2428		1.6491		0.4063	32.69%
7	014855	嘉实中证半导体指数增强发起式C		指数型-股票		1.5385		2.0398		0.5013	32.58%
8	017811	东方人工智能主题混合C		混合型-偏股		1.2238		1.6217		0.3979	32.51%
9	021533	天弘中证半导体材料设备主题指数发起C		指数型-股票		1.3904		1.8410		0.4506	32.41%
10	020840	南方中证半导体产业指数发起C		指数型-股票		1.6850		2.2276		0.5426	32.2%
11	014951	汇安润阳三年持有期混合C		混合型-偏股		0.8995		1.1889		0.2894	32.17%
12	019571	诺安优化配置混合C		混合型-偏股		2.0831		2.7438		0.6607	31.72%
13	020357	华夏半导体材料设备ETF联接C		指数型-股票		1.4883		1.9573		0.469	31.51%
14	021719	华泰紫金中证半导体产业指数型发起C		指数型-股票		1.5886		2.0892		0.5006	31.51%
15	023045	太平科技先锋混合发起式C		混合型-偏股		1.1966		1.5712		0.3746	31.31%
16	019925	华宝竞争优势混合C		混合型-偏股		0.7163		0.9392		0.2229	31.12%
17	022607	汇安行业龙头混合C		混合型-偏股		1.9146		2.5075		0.5929	30.97%
18	021894	易方达半导体设备ETF联接C		指数型-股票		1.0866		1.4208		0.3342	30.76%
19	020640	广发中证半导体材料设备ETF发起式联接C		指数型-股票		1.4310		1.8705		0.4395	30.71%
20	020671	易方达上证科创板芯片指数发起式C		指数型-股票		2.0239		2.6449		0.621	30.68%
21	019633	国泰半导体设备ETF联接C		指数型-股票		1.2451		1.6270		0.3819	30.67%
22	021225	华宝上证科创板芯片指数发起C		指数型-股票		2.1218		2.7712		0.6494	30.61%
23	021608	南方上证科创板芯片ETF发起联接C		指数型-股票		2.0546		2.6796		0.625	30.42%
24	020465	招商中证半导体产业ETF发起式联接C		指数型-股票		1.7597		2.2934		0.5337	30.33%
25	014320	德邦半导体产业混合发起式C		混合型-偏股		1.5194		1.9801		0.4607	30.32%
26	017470	嘉实上证科创板芯片ETF发起联接C		指数型-股票		1.6651		2.1677		0.5026	30.18%
27	025333	诺安成长混合C		混合型-偏股		1.5750		2.0480		0.473	30.03%
28	022726	博时上证科创板芯片ETF发起式联接C		指数型-股票		1.3295		1.7260		0.3965	29.82%
29	001174	中欧瑾和灵活配置混合C		混合型-灵活		1.5978		2.0732		0.4754	29.75%
30	023652	富国上证科创板芯片ETF发起式联接C		指数型-股票		1.1972		1.5534		0.3562	29.75%
31	017560	华安上证科创板芯片ETF发起式联接C		指数型-股票		1.8279		2.3716		0.5437	29.74%
32	020629	汇添富上证科创板芯片ETF发起式联接C		指数型-股票		2.0009		2.5954		0.5945	29.71%
33	023829	万家中证半导体材料设备主题ETF发起式联接C		指数型-股票		1.1434		1.4811		0.3377	29.53%
34	024975	华泰柏瑞上证科创板半导体材料设备主题ETF发起式联接C		指数型-股票		1.0585		1.3680		0.3095	29.24%
35	014143	银河创新成长混合C		混合型-偏股		7.6971		9.9431		2.246	29.18%
36	017747	建信电子行业股票C		股票型		1.4912		1.9231		0.4319	28.96%
37	017076	宝盈半导体产业混合发起式C		混合型-偏股		1.5824		2.0399		0.4575	28.91%
38	014194	汇添富中证芯片产业指数增强发起式C		指数型-股票		1.0297		1.3263		0.2966	28.8%
39	020470	长城半导体混合发起式C		混合型-偏股		1.6472		2.1201		0.4729	28.71%
40	024854	国泰上证科创板芯片ETF发起联接C		指数型-股票		0.9321		1.1994		0.2673	28.68%
41	013843	银华新锐成长混合C		混合型-偏股		1.0208		1.3132		0.2924	28.64%
42	016262	银华智荟内在价值灵活配置混合发起C		混合型-灵活		1.9572		2.5166		0.5594	28.58%
43	020477	泰康半导体量化选股股票发起式C		股票型		1.8129		2.3302		0.5173	28.53%
44	016501	华夏半导体龙头混合发起C		混合型-偏股		1.5690		2.0133		0.4443	28.32%
45	015687	银华乐享混合C		混合型-偏股		0.7383		0.9471		0.2088	28.28%
46	021938	华安半导体产业股票发起式C		股票型		1.2145		1.5494		0.3349	27.58%
47	015773	招商移动互联网产业股票基金C		股票型		1.4538		1.8542		0.4004	27.54%
48	018326	国泰海通创新成长混合发起C		混合型-偏股		1.1848		1.5106		0.3258	27.5%
49	512760	国泰CES半导体芯片ETF		指数型-股票		2.8276		3.6050		0.7774	27.49%
50	015585	国泰优势行业混合C		混合型-偏股		2.0478		2.6099		0.5621	27.45%
51	010913	国泰成长价值混合C		混合型-偏股		0.8617		1.0976		0.2359	27.38%
